cattle||B1||animals|https://www.englishprofile.org/british-english/words/detail/817
clothes||A1||clothes|https://www.englishprofile.org/british-english/words/detail/972
albeit||C2|||https://www.englishprofile.org/british-english/words/detail/157
and|ALSO|A1||communication|https://www.englishprofile.org/british-english/words/detail/229
and|AFTER|A1||communication|https://www.englishprofile.org/british-english/words/detail/229
because||A1||communication|https://www.englishprofile.org/british-english/words/detail/491
but|DIFFERENT STATEMENT|A1||communication|https://www.englishprofile.org/british-english/words/detail/719
and|AFTER VERB|A2||communication|https://www.englishprofile.org/british-english/words/detail/229
as|BECAUSE|A2||communication|https://www.englishprofile.org/british-english/words/detail/330
although|BUT|B1||communication|https://www.englishprofile.org/british-english/words/detail/192
although|DESPITE|B1||communication|https://www.englishprofile.org/british-english/words/detail/192
and|EMPHASIZE|B1||communication|https://www.englishprofile.org/british-english/words/detail/229
close||B1||describing things|https://www.englishprofile.org/british-english/words/detail/966
as|JOB|A1||work|https://www.englishprofile.org/british-english/words/detail/330
and|NUMBERS|A1|||https://www.englishprofile.org/british-english/words/detail/229
as|USE|A2|||https://www.englishprofile.org/british-english/words/detail/330
before|EARLIER|A2|||https://www.englishprofile.org/british-english/words/detail/499
after||B1|||https://www.englishprofile.org/british-english/words/detail/127
as|BEING OR APPEARING|B1|||https://www.englishprofile.org/british-english/words/detail/330
as|WHILE|B1|||https://www.englishprofile.org/british-english/words/detail/330
as|LIKE|B1|||https://www.englishprofile.org/british-english/words/detail/330
before|TO AVOID SOMETHING|B1|||https://www.englishprofile.org/british-english/words/detail/499
before|UNTIL|B1|||https://www.englishprofile.org/british-english/words/detail/499
but|EXPLAINING WHY|B1|||https://www.englishprofile.org/british-english/words/detail/719
eighty||A2|||https://www.englishprofile.org/british-english/words/detail/1855
insofar as||C2|||https://www.englishprofile.org/british-english/words/detail/3043
if|DEPENDING|A2|||https://www.englishprofile.org/british-english/words/detail/2854
if|ALWAYS|B1|||https://www.englishprofile.org/british-english/words/detail/2854
if|MIGHT|B1|||https://www.englishprofile.org/british-english/words/detail/2854
if|WHETHER|B1|||https://www.englishprofile.org/british-english/words/detail/2854
if|WOULD/MIGHT/COULD HAVE|B2|||https://www.englishprofile.org/british-english/words/detail/2854
